,Original Names
56,Aaron Victoria-Vanguard
57,Aaron Victorin-Vangerud
175,Adele Pfrimmer-Hensley
177,Adena Rivia-Dundas
235,Aimée Richmond--Vermont
323,Alda Balthrop-Lewis
325,Aldo Ceresa--Aldo Ceresa
328,Alec Jenkins-White
329,Alec Joshongeva-Petersen
350,Alex Brinkman-Gramigna
351,Alex Brinkman-Granigna
370,Alex Gomez-del-Moral
384,Alex Makris-Shaw
391,Alex Rupp-Coppi
568,All-California
569,All-Day
609,Allie Mandell-Lees
649,Allison Wallace-Grate
691,Alvaro Witt-Duarte
717,Amanda Denson-Brady
856,Anayis Joy Mampre-Wright
858,Anayis Mampre-Wright
963,András Gryszko-Szánto
1030,Angela Ruggiero-Corliss
1200,Anna Barss-Bailey
1273,Anna Roberts-Gevalt
1295,Anna-Christine Pridden
1303,Annabell Immel-Parkinson
1305,Annabelle Krawchuk-Miller
1400,Anne-Cécile Chatelier
1442,Annie-Lou Chesrer
1443,Annie-Lou Chester
1469,Antioch-Shiloh
1580,Arthur Hallett-West
1770,B.C. Condon-Gill
1793,Baldrop-Lewis
1794,Ballinger Family--Linton
1939,Bea Sachs-Hamilton
1941,Beasley Children--Cora Sweatt
1979,Becky Allen-Powell
1995,Becky Hafner-Camp
1999,Becky Hefner-Camp
2100,Ben Sach-Hamilton
2102,Ben Sachs- Hamilton
2103,Ben Sachs-Hamilton
2104,Ben Sacks-Hamilton
2134,Benjamin Krawchuk-Miller
2148,Bennie Keeton--Leonard
2164,Berkshire Foothills All-Day
2187,Bernice Karlsberg-Casso
2209,Bess Borrelli-Murray
2239,Beth Gregory-Dixon
2252,Beth Hoffman-Reed
2259,Beth Neville-Evans
2425,Bill Boykin-Morns
2426,Bill Boykin-Morris
2599,Boaz Allen-Berey
2747,Bonnie Whiting-Smith
2759,Boys Counselors--Aldo Ceresa
2822,Brandon Martin-Anderson
2989,Bridget McVennon-Morgan
2996,Bridgett Hill-Kennedy
2999,Bridgett McVennon-Morgan
3168,Bufrey Dean-Alabama
3232,Caitlyn Campbell-Maher
3396,Caro Stamm-Reuch
3397,Caro Stamm-Reusch
3459,Carol Munro-Mosley
3501,Carolina Whitfield-Smith
3521,Caroline Lingold-Thomas
3533,Caroline Ungoed-Thomas
3554,Carolyn Flatley- Gilkey
3555,Carolyn Flatley-Gilkey
3586,Carri Patterson-Grindon
3657,Cassie Smith-Christmas
3708,Catherine Wakefield--Cecil Wakefield
3749,Cathy White--Georgia
3757,Cayce-The Good Old Songs
3762,Caye Stubbings-Mott
3817,Celia Wolf-Devine
3821,Central Ontario All-Day
3836,Chair-person Sarah Davie
3837,Chairman-elect David Ballinger
3846,Chandler York-Hall
3940,Charles Wells--Minnesota
3974,Charlie McKenzie-Smith
3987,Charlie Urban-Mead
4020,Charlotte Owens Walker--West Virginia
4053,Chela Arias-Ryan
4087,Cheryl Foreman--Texas
4110,Chiara Ubertino-Coskun
4112,Chick-Fil-A
4141,Chloe Webb--Texas
4142,Chloe Webb--USA
4188,Chris Frantz-Dale
4215,Chris Johnson-Roberson
4216,Chris Johnson-Robertson
4324,Christian Saupe-Wüst
4407,Christopher Johnson-Roberson
4535,Cindy Willard-Danner
4542,Clair Moore-Cantwell
4561,Claire Moore-Cantrell
4562,Claire Moore-Cantwell
4577,Clara Garcia-Lehmann
4580,Clara Potter-Sweet
4646,Clay Zeller-Townson
4691,Co-Chairman David Ivey
4692,Co-Chairman David Rust
4693,Co-Chairman Ian Smiley
4694,Co-Chairman Rodney Ivey
4695,Co-Chairman Susan Miller-Coulter
4696,Co-Chairman Terry Wootten
4697,Co-Chairpersons Loretta Smith
4698,Co-Secretary Doug Stapleton
4699,Co-chairmen Benedicta Hardy
4735,Colette Miller-Gurtz
4786,Committee--Paula Oliver
5083,Dalton Dyer-Lewis
5087,Dalton Lewis-Dyer
5183,Dana Borelli-Murray
5186,Dana Borrelli-Murray
5201,Dana Steege-Jackson
5244,Daniel Gibbens-Rickman
5303,Danielle Radacosky-Pentoney
5364,Darlene Simpson-Brown
5411,Dave Davidson-Methot
5455,Davenport Herrick-Wallace
5586,David Kreiss-Tomkins
5587,David Kriess-Tomkins
5729,De-De Heeter
5736,DeLong-Roberts
5920,Delong-Roberts
6004,Derek Curtis-Tilton
6073,Diane Arnson-Svarlien
6165,Diving-Bell
6177,Dolan Dolan-Wolf
6178,Dolan Dolan-Wolfe
6268,Donald Klein--Colorado
6309,Donna Gunderson-Rogers
6348,Donna-Marie Bock
6628,Ed Johnson-Williams
6629,Ed Johson-Williams
6635,Ed Paton-Williams
6780,Eleanor Jones-McAuley
6817,Elias Neuman-Donahue
6818,Elias Neuman-Donihue
6819,Elias Newman-Donihue
6843,Elisabeth Bogal-Allbritten
6849,Elisabeth Pixley-Fink
6852,Elisabeth Schmidt-Hiber
6862,Elise Meyer-Bothing
6863,Elise Meyer-Bothling
6898,Elizabeth Bogal-Allbritten
6901,Elizabeth Bullock-Rest
6964,Elizabeth Rogal-Allbritten
7054,Ellen Wirth-Foster
7086,Ellyn Stokes-Ross
7199,Emily Hale-Sills
7251,Emily Stutzman-Jones
7296,Emma Pepe-Winshell
7357,Eric Duvall-Winscher
7413,Eric-Dardan Ymeraga
7414,Eric-Darden Ymeraga
7445,Erik Dardan-Ymeraga
7457,Erik-Dardan Ymeraga
7458,Erik-Darden Ymeraga
7459,Erik-Derdan Ymeraga
7486,Erin Johnson-Hall
7487,Erin Johnson-Hill
7488,Erin Johnson-Williams
7551,Ester Morgan-Ellis
7566,Esther Morgan-Ellia
7567,Esther Morgan-Ellis
7770,Faye Jennings-Thompson
7788,Fayrene Wakefield--led
7789,Fayrine Wakefield--led
7800,Felix Chéster-Trudel
7819,Finn Titford-Mock
7820,Finnbar Face-Book
7846,Florine Vieilly-Eymard
7847,Florine Vieilly-Éymard
7848,Florine Vielly-Eymard
7860,Forest Abbot-Lum
7861,Forest Abbott-Lum
7868,Fort Worth Star-Telegram
7887,Frances Ceresa--Michigan
7935,Frank Eeyamgittoowauconnuck-Brotherton
8029,Fynn Titford-Mock
8226,Genesis Lodge Teacher--Sam Sommers
8278,George Holland--Georgia USA
8442,Girls Counselors--Lela Crowder
8474,Glenda Phillips Lee-Yuk
8521,Golden Gate Double All-Day
8559,Grace McKenzie-Smith
8593,Graham DeZarn--Virginia
8595,Graham Hoggstock-Mattson
8870,Harlan Walker-Young
8994,Heather Josselyn-Cranson
9010,Heather Wood--New York
9065,Henagar-Union
9124,Higher Ground-Darrell Swarens
9187,Holy Comforter Lodge Campers--Sonny Erwin
9203,Honorata Pawlicka-Zurakowska
9204,Honorata Pawlicka-Żurakowska
9231,Howard Tucker-Frost
9264,Hui-Min Tsen
9284,Iambic--C.M.
9338,Immel-Parkinson
9419,Isaac Dolan-Wolfe
9424,Isaac Immel-Parkinson
9457,Isabelle Gervais-Chapman
9470,Ishmael Stefanov--Wagner
9471,Ishmael Stefanov-Wagner
9475,Ismael Stefanov-Wagner
9477,Isobel Robinson-Ortiz
9501,Ivy Hauser-Hall
9502,Ivy Hauser-Hill
9569,J.P. Thom-Gizonachan
9570,J.P. Thom-Gronachan
9589,JP Thom-Gronachan
9647,Jacki Selby-McLeod
9746,Jacqui Selby- MacLeod
9747,Jacqui Selby-MacLeod
9748,Jacqui Selby-Macleod
9749,Jacqui Selby-McLeod
9994,Jan-Erik Steel
9995,Jan-Erik Steele
10094,Janet Ross-Snyder
10128,Janice Jackson-Johnson
10182,Jareka Dellenbaugh-Dempsey
10238,Jason Steidl-Jack
10253,Jasper Hess-Angle
10321,Jean-Dominique Bauby
10360,Jeanine Ulyette--USA
10401,Jeff Begley--California
10512,Jenna Bond-Tompkins
10534,Jenni Wallace-Grate
10542,Jennie Wallace-Grate
10549,Jennifer Allred-Lee
10566,Jennifer DeLapp-Birkett
10673,Jeremy Day- O’Connell
10674,Jeremy Day-O’Connell
10777,Jesse Flynn-Jambeck
10796,Jesse Pearlman-Karlsberg
10875,Jessie Pearlman-Karlsberg
10933,Jim Brown--instructor
11030,Jimmie Foreman--Texas
11087,Jo-Anne Carlyle
11088,Jo-anne Carlisle
11089,Jo-anne Carlyle
11323,Joel-Henry Mansfield
11348,Johanna Gorman-Baer
11646,John Watson--London
11672,John-Marshall Mansfield
11731,Jonah Geil-Neufeld
11747,Jonathan Kadar-Kallen
11752,Jonathan Levy-Wolins
11783,Jonathon Kadar-Kallen
11785,Jonathon Levy-Wolins
11825,Jordan-Leigh Taylor
11835,Jose Camacho-Cerna
11837,Jose Comacho-Cerna
11944,Joshua Keeton--led
11986,José Camacho-Cerna
12017,Joy Willard-Williford
12019,Joy-Hannah Carnell
12038,Joyce Harrison--Georgia
12144,Judy Caudle--Samuel Sommers
12181,Judy Nahman-Stouffer
12324,Julie Strayer-Thoma
12363,Jung-Hea Baik
12413,Justine Cruise-Robersen
12470,Kansas City-Lawrence
12517,Karen Hanna-Towne
12536,Karen Lee-Duffell
12613,Karl Walbrecht--Virginia
12639,Kass Urban-Mead
12645,Kassie Urban-Mead
12689,Kate Merritt-Davis
12773,Kathleen Eschen-Pipes
12774,Kathleen Eshen-Pipes
13118,Kelly Brest Van-Kempen
13213,Kendahl Goldwater-Feldman
13313,Kevin Griffin-Moreno
13428,Kit Canwright-Pfau
13628,Lakeview Lodge--Brenda Dunlap
13629,Lakeview Lodge--David Wright
13630,Lakeview Lodge--Nathan Rees
13631,Lakeview Lodge--The
13651,Landis Powell--Texas
13707,Larry Gordon--Vermont
14025,Leanne Conley-Holcolm
14105,Leila Immel-Parkinson
14110,Leilai Immel-Parkinson
14111,Leilai Immel-Pershing
14112,Leilai Immer-Parkinson
14121,Lelai Immel-Parkinson
14146,Lenny Lee-Fisher
14219,Leslie Williamson-White
14369,Linda Davies-Holmes
14398,Linda Holmes-Davies
14410,Linda Larson-Sauer
14467,Lindsey Row-Heyveld
14492,Liora O’Donnell-Goldensher
14604,Liz Smith-Yeats
14882,Lucas Blanchard-Glueckert
14909,Lucinda Larsen-Saue
14932,Lucy Leddington-Wright
14949,Lucy Stein-Cartford
14970,Luke Johnson-Williams
15002,Lydia Campbell-Maher
15021,Lydia Vernon-Jones
15082,Lynn Rubier-Capron
15190,Maeve Wade-Gosselin
15194,Magda Zapedowska-Eriksen
15199,Magdalena Gryszko-Szánto
15205,Magdalena Zapedowska-Eriksen
15216,Maggie Eiseman-Renyard
15219,Maggie Eisman-Renyard
15220,Maggie Eisman-Reynard
15389,Margaret Grabar-Sage
15449,Margo Dana-Weiss
15476,Maria Neuman-Fraune
15479,Maria Neumann-Fraune
15514,Mariapas Candeiros-Carson
15538,Marie-Hélène Blondel
15539,Marie-Laure Prot
15565,Marilyn Tucker-Marek
15566,Marilyn Tucker-Mark
15944,Mary Beth Mills-Curran
15945,Mary Beth Mills-Curren
16121,Mary MacDonald-Lewis
16130,Mary McDonald-Lewis
16189,Mary Taylor-Glock
16203,Mary-Alice Amidon
16204,Mary-Jane Wilkie
16205,Mary-Jean Minor
16241,Masti-Denise Maynard
16242,Masti-Denise Mayrand
16253,Mathew Leger-Small
16346,Matthew Leger-Small
16349,Matthew Léger-Small
16358,Matthew Porter-Valbracht
16362,Matthew Robley- Siemonsma
16363,Matthew Robley-Siemonsma
16434,Maxine Dale-Jackson
16435,Maxine Fawcett-Yeske
16563,Melanie Hauff--Illinois
16609,Melissa Snow-Clark
16672,Merv--New York
16682,Micah Day-O’Connell
16683,Micah Hull-Levy-Wolins
16687,Micah Levy-Wollins
16885,Mickolas Tomaskoujc-Devey
16886,Mid-Michigan
17003,Miles Louis-Dakan
17038,Miranda Elliot-Rader
17041,Miranda Elliott-Rader
17045,Miranda Harrison-Quillin
17052,Miriam Cantor-Stone
17167,Molly Wexler-Romig
17170,Molly-Claire Gillet
17171,Molly-Claire Gillett
17172,Molly-Clare Gillett
17206,Morgan-Ellis
17220,Mryka Hall-Bayer
17221,Mryka Hall-Beyer
17222,Mryka Hall-Bower
17223,Mryka Hall-Boyer
17227,Mullen House Campers--John Hoerr
17264,Myrka Hall-Beyer
17298,Nadia Bolz-Weber
17304,Nadja Shannon-Dabek
17386,Nancy Ping-Robbins
17396,Nancy Smith-Huertas
17499,Nathan Bergman-Dean
17501,Nathan Bergmann-Dean
17502,Nathan Bergmann-Deen
17563,Nattie Mayer-Hutchings
17596,Nell Hill-Percival
17766,Nina Fitzerman-Blue
17851,Octavia Hamamoto-Sandman
17864,Oisin Kidson-Ireland
17865,Oisin Kidston-Ireland
17866,Oisin Kisdon-Ireland
17892,Oliver Kindig-Stokes
17925,Olympia All-Day
17989,Owen Johnson-Williams
17992,Owen Lyman-Schmidt
18000,Oxford All-Day
18089,Park All-Day
18095,Parris-Deason
18109,Pat Colteryhan--Vermont
18114,Pat Forsberg-Smith
18115,Pat Forsburg-Smith
18117,Pat Fosberg-Smith
18135,Pat Motley-Waggener
18145,Pat Sillavan--mother
18156,Patch Tseng-Putterman
18170,Patricia Doss-Butterfield
18244,Pattie Doss-Butterfield
18260,Patty Doss-Butterfield
18261,Patty Heather-Lea
18327,Paul Large-Chamberlain
18371,Paul Wilson--Minnesota
18447,Peggy Dyson-Cobb
18450,Peggy Kadima-Mazela
18451,Peggy Kadina-Mazela
18494,Per-Olof Swing
18506,Pete Eiseman-Renyard
18508,Pete Eisman-Renyard
18509,Pete Eisman-Reynard
18539,Peter Douglas-Banks
18542,Peter Eiseman-Renyard
18543,Peter Eisman-Renyard
18565,Peter Lontz-Underhill
18577,Peter Sackett-Ferguson
18660,Philippe Doyle-Goslin
18661,Philippe Doyle-Gosselin
18691,Phillipe Doyle-Gosselin
18695,Phillippe Doyle-Gosselin
18696,Phillippe Doyle-Spencer
18716,Pierre Gingerich-Boberg
18726,Pioneer Valley All-Day
18757,Porter Lontz-Underhill
18758,Porter Lorentz-Underhill
18761,Prague All-Day
18779,Pro-tem Liz Owen
18808,Rachael Eid-Ries
18922,Rae Egglestone-Evans
19003,Ray Cott-Meisel
19004,Ray Cott-Meissel
19080,Rebecca Hafner-Camp
19096,Rebecca Over--UK
19113,Rebeka Racher-Craster
19115,Rebeka Radna-Crasta
19116,Rebeka Radra-Crasta
19135,Reed Schilbach--Washington
19150,Regina Bayer-Frick
19253,Rich Miller-Todd
19384,Riley-Grace Jordan
19745,Rose Walker-Young
19766,Rosie Wilson-Briggs
19778,Ross Vernon-Jones
19823,Ru Perry-Mize
19864,Russ Vernon-Jones
19929,Ruth Sgan-Cohen
20030,Sage Chase-Dempsey
20031,Sage Chaser-Dempsey
20047,Sally Greaves- Lord
20048,Sally Greaves-Lloyd
20049,Sally Greaves-Lord
20050,Sally Grieves-Lord
20084,Sam Carter-Odem
20116,Sam Schaefer-Joel
20120,Sam Singleton-Freeman
20198,Sandra Ward-Angell
20242,Sara Beaber- Fujioka
20243,Sara Beaber-Fujioka
20286,Sara Lynch-Thomason
20318,Sara Whites-Koditschek
20328,Sarah Beaber-Fujioka
20349,Sarah Day-O’Connell
20404,Sarah Lynch-Thomason
20419,Sarah Morice-Rebaker
20462,Sarah Whites-Koditschek
20463,Sarah Whites-Kotichek
20470,Sarah-Beth Carnell
20480,Satya Stark-Bejnar
20500,Scots-Irish
20555,Scout Borrelli-Murray
20586,Secretaries--Fiona Nugent
20780,Sheila Girling-Macadam
20781,Sheila Girling-Smith
20890,Sheryl Wilson-Bell
20931,Sidney Estey-Dedell
20952,Silke Kunow-Koch
20974,Simone Singh-Sondhi
21073,Sophie Gregory-Smith
21082,Sophie Sawicka-Sykes
21128,Stamm-Reusch
21195,Stephanie Masters-Norton
21196,Stephanie Metcalf-Conte
21230,Stephen Kasperick-Postellon
21241,Stephen Metcalf-Conte
21242,Stephen Metcalfe-Conte
21306,Steve Kasparick-Postellon
21308,Steve Kasperick-Postellon
21387,Steven Kasperick-Postellon
21400,Steven Metcalf-Conte
21555,Susan Dew-Jones
21629,Susan Miller-Coulter
21681,Susan Willis-Powell
21682,Susan Willis-Powers
21770,Sydney Almaraz-Neal
21772,Sydney Estey-Dedell
21904,Teacher--Dan Brittain
21905,Teacher--Sam Sommers
21906,Teacher-Dan Brittain Dan
21907,Teacher-Judy Caudle Judy Caudle
21908,Teacher-Rachel Hall Rachel Hall
21911,Team Tunesmith I--SH Composition
21912,Team Tunesmith I--Sacred Harp Composition
21913,Team Tunesmith I-Sacred Harp Composition
21960,Teresa Kasperick-Postellon
22056,The Geneva All-Day
22063,The Hat Parade--Betty Shepherd
22071,The Lacy Family-Reba Windom
22081,The Morton All-Day
22098,The Silverton Grange All-Day
22108,The Wallowa Valley All-Day
22129,Theresa Cooper-Gordon
22162,Thom-Gronachan
22525,Tony Barrand--USA
22650,Tristan Gordon-Windham
22751,Uppsala All-Day
22766,Vale Cofer-Shabica
22767,Vale Coter-Shabica
22825,Vermont All-Day
22846,Vice-Chairman Darrell Holley
22847,Vice-Chairman Richard Schmeidler
22974,Viv Imrie-O’Duffy
22981,Vivian Mack-Boston
22996,Vykki Mende-Gray
23447,Y-Lynn Ong
23470,Youth Boys--The
23472,Youth Girls--The
23524,Zack Row-Heyveld
23565,Zoe Hosmer-Dillard
23589,Álvaro Witt-Duarte
